"datetime,""T_org"",""T_05"",""T_15"",""T_25"",""T_35"",""T_45"",""T_55"",""T_65"",""T_75"",""T_85"",""T_95"",""T_105"",""T_115"",""M_org"",""M_05"",""M_15"",""M_25"",""M_35"",""M_45"",""M_55"",""M_65"",""M_75"",""M_85"",""M_95"",""M_105"",""M_115"""
2022-05-05 00:00:00,NA,9.420013,9.630005,9.950012,9.170013,8.709991,8.320007,7.769989,7.829987,8.220001,NA,NA,NA,NA,18.2199144510477,21.8721687011666,22.3545298745243,26.6722072555279,27.7641162657154,19.0795652468422,14.3357040725731,9.66292640223731,12.854350201804,NA,NA,NA
2022-05-05 00:10:00,NA,9.369995,9.549988,9.959991,9.109985,8.73999,8.320007,7.700012,7.899994,8.220001,NA,NA,NA,NA,18.2153513865606,21.8810509427591,22.3464051818598,26.6904683278164,27.7573307739772,19.0795652468422,14.3512186177777,9.65308430435153,12.854350201804,NA,NA,NA
2022-05-05 00:20:00,NA,9.290009,9.519989,9.940002,9.140015,8.73999,8.269989,7.730011,7.880005,8.220001,NA,NA,NA,NA,18.2062180224854,21.8854841656951,22.3545298745243,26.6782911608442,27.7573307739772,19.0939879368421,14.3434609781269,9.65636719527955,12.854350201804,NA,NA,NA
2022-05-05 00:30:00,NA,9.290009,9.519989,9.940002,9.170013,8.73999,8.269989,7.660004,7.850006,8.220001,NA,NA,NA,NA,18.1834159551953,21.8810509427591,22.3504633557912,26.6661151398582,27.7505456270991,19.0939879368421,14.3628640011791,9.65964317754206,12.854350201804,NA,NA,NA
2022-05-05 00:40:00,NA,9.269989,9.519989,9.899994,9.170013,8.73999,8.299988,7.700012,7.910004,8.220001,NA,NA,NA,NA,18.1651797456302,21.8810509427591,22.3585965398661,26.6722072555279,27.7505456270991,19.0843672791572,14.3512186177777,9.64980158050671,12.854350201804,NA,NA,NA
2022-05-05 00:50:00,NA,9.23999,9.470001,9.959991,9.109985,8.73999,8.269989,7.730011,7.899994,8.220001,NA,NA,NA,NA,18.1606271378781,21.8854841656951,22.3464051818598,26.6904683278164,27.7573307739772,19.0939879368421,14.3434609781269,9.64980158050671,12.854350201804,NA,NA,NA
2022-05-05 01:00:00,NA,9.140015,9.5,9.920013,9.190002,8.76001,8.320007,7.700012,7.880005,8.220001,NA,NA,NA,NA,18.1651797456302,21.8810509427591,22.3545298745243,26.6661151398582,27.7505456270991,19.0795652468422,14.3512186177777,9.65308430435153,12.854350201804,NA,NA,NA
2022-05-05 01:10:00,NA,9.089996,9.390015,9.910004,9.170013,8.76001,8.299988,7.769989,7.950012,8.220001,NA,NA,NA,NA,18.1606271378781,21.8943674730406,22.3545298745243,26.6661151398582,27.7505456270991,19.0843672791572,14.3357040725731,9.63996148517754,12.8506402592931,NA,NA,NA
2022-05-05 01:20:00,NA,9.089996,9.309998,9.880005,9.089996,8.76001,8.299988,7.700012,7.899994,8.220001,NA,NA,NA,NA,18.1424109767123,21.907701932899,22.3585965398661,26.6965530917491,27.7505456270991,19.0843672791572,14.3512186177777,9.64980158050671,12.854350201804,NA,NA,NA
2022-05-05 01:30:00,NA,8.98999,9.359985,9.890015,9.170013,8.76001,8.269989,7.730011,7.929993,8.220001,NA,NA,NA,NA,18.1515146901773,21.8943674730406,22.3585965398661,26.6661151398582,27.7505456270991,19.0939879368421,14.3434609781269,9.64651902375812,12.854350201804,NA,NA,NA
