"datetime,""T_org"",""T_05"",""T_15"",""T_25"",""T_35"",""T_45"",""T_55"",""T_65"",""T_75"",""T_85"",""T_95"",""T_105"",""T_115"",""M_org"",""M_05"",""M_15"",""M_25"",""M_35"",""M_45"",""M_55"",""M_65"",""M_75"",""M_85"",""M_95"",""M_105"",""M_115"""
2021-05-06 05:00:00,1.679993,3.950012,3.609985,3.329987,3.480011,3.190002,3.579987,2.859985,3.959991,NA,NA,NA,NA,25.8660631239909,25.4245040547658,27.0931695632922,23.1814202303525,23.2822147480373,20.9321956503081,21.3079502207073,19.3241960513599,20.7395984247166,NA,NA,NA,NA
2021-05-06 06:00:00,1.579987,3.790009,3.559998,3.25,3.480011,3.170013,3.579987,2.829987,3.829987,NA,NA,NA,NA,25.9375656010107,25.472791663695,27.1030667648776,23.2003331887872,23.2822147480373,20.9364124369428,21.3079502207073,19.3341584659362,20.7663914900452,NA,NA,NA,NA
2021-05-06 07:00:00,1.5,3.790009,3.529999,3.25,3.480011,3.170013,3.579987,2.859985,3.940002,NA,NA,NA,NA,26.0020504430248,25.4835322652829,27.1080199087733,23.195600530493,23.2822147480373,20.9364124369428,21.3079502207073,19.3241960513599,20.7440580819056,NA,NA,NA,NA
2021-05-06 08:00:00,1.470001,3.790009,3.5,3.25,3.480011,3.190002,3.579987,2.859985,3.859985,NA,NA,NA,NA,26.0522853188353,25.4942653727651,27.1129732399208,23.195600530493,23.2822147480373,20.9321956503081,21.3120517450162,19.3291771359952,20.7619228181412,NA,NA,NA,NA
2021-05-06 09:00:00,1.470001,3.690002,3.420013,3.170013,3.480011,3.190002,3.579987,2.809998,3.880005,NA,NA,NA,NA,26.1529585610047,25.5318848305499,27.1327884367698,23.2097908241192,23.2822147480373,20.9321956503081,21.3079502207073,19.3391320704443,20.7619228181412,NA,NA,NA,NA
2021-05-06 10:00:00,1.450012,3.579987,3.480011,3.25,3.480011,3.220001,3.579987,2.859985,3.940002,NA,NA,NA,NA,26.4857420948786,25.5857067343196,27.1129732399208,23.1908763241597,23.2822147480373,20.9279871225081,21.3079502207073,19.3291771359952,20.7485260052701,NA,NA,NA,NA
2021-05-06 11:00:00,1.369995,3.579987,3.339996,3.170013,3.480011,3.220001,3.579987,2.829987,3.910004,NA,NA,NA,NA,26.8582948965943,25.6234211222543,27.1476432719748,23.2050577801506,23.2822147480373,20.9279871225081,21.3120517450162,19.3341584659362,20.752994115876,NA,NA,NA,NA
2021-05-06 12:00:00,1.269989,3.579987,3.369995,3.190002,3.480011,3.170013,3.579987,2.859985,3.940002,NA,NA,NA,NA,27.0792329119718,25.682787809998,27.1426971583694,23.2003331887872,23.2822147480373,20.9364124369428,21.3079502207073,19.3291771359952,20.7485260052701,NA,NA,NA,NA
2021-05-06 13:00:00,1.269989,3.579987,3.320007,3.190002,3.480011,3.109985,3.579987,2.859985,3.910004,NA,NA,NA,NA,27.4130873583674,25.7584719174952,27.1476432719748,23.195600530493,23.2822147480373,20.9490556959999,21.3079502207073,19.3291771359952,20.752994115876,NA,NA,NA,NA
2021-05-06 14:00:00,1.269989,3.579987,3.320007,3.170013,3.480011,3.170013,3.579987,2.859985,3.940002,NA,NA,NA,NA,27.7273999059823,25.877732511599,27.1476432719748,23.2003331887872,23.2822147480373,20.9364124369428,21.3079502207073,19.3291771359952,20.7485260052701,NA,NA,NA,NA
2021-05-06 15:00:00,1.269989,3.480011,3.320007,3.170013,3.480011,3.170013,3.579987,2.859985,3.910004,NA,NA,NA,NA,27.953512046149,26.0683186727435,27.1526066286151,23.2003331887872,23.2822147480373,20.9364124369428,21.3079502207073,19.3291771359952,20.752994115876,NA,NA,NA,NA
2021-05-06 16:00:00,1.269989,3.529999,3.320007,3.170013,3.480011,3.190002,3.579987,2.859985,3.959991,NA,NA,NA,NA,28.1733538061435,26.2763856559517,27.1625253763137,23.195600530493,23.2771398853389,20.9321956503081,21.3079502207073,19.3291771359952,20.7440580819056,NA,NA,NA,NA
2021-05-06 17:00:00,1.170013,3.399994,3.320007,3.170013,3.480011,3.140015,3.579987,2.859985,3.859985,NA,NA,NA,NA,28.7709197256466,26.5962929829591,27.1823565905945,23.195600530493,23.2771398853389,20.9448384127422,21.3079502207073,19.3291771359952,20.7708603491324,NA,NA,NA,NA
2021-05-06 18:00:00,1.070007,3.350006,3.320007,3.140015,3.480011,3.170013,3.579987,2.829987,3.959991,NA,NA,NA,NA,28.9643880810487,26.9358015862264,27.2518705045609,23.2097908241192,23.2771398853389,20.9364124369428,21.3079502207073,19.3341584659362,20.7485260052701,NA,NA,NA,NA
2021-05-06 19:00:00,1.070007,3.170013,3.26001,3.170013,3.480011,3.220001,3.579987,2.859985,3.910004,NA,NA,NA,NA,29.0731441086976,27.2446162000002,27.4362125584347,23.2145158004551,23.2822147480373,20.9279871225081,21.3038488510518,19.3291771359952,20.757454333435,NA,NA,NA,NA
2021-05-06 20:00:00,1.070007,3.170013,3.209991,3.109985,3.480011,3.190002,3.579987,2.859985,3.880005,NA,NA,NA,NA,28.8095433008775,27.3010396230494,27.6365006143394,23.2618587775386,23.2923568712717,20.9321956503081,21.3038488510518,19.3291771359952,20.7663914900452,NA,NA,NA,NA
2021-05-06 21:00:00,1.070007,3.140015,3.109985,3.029999,3.480011,3.220001,3.579987,2.859985,3.959991,NA,NA,NA,NA,28.9721504450386,27.3632016418306,27.7874397387284,23.3377551441717,23.307584113968,20.9364124369428,21.3038488510518,19.3291771359952,20.7485260052701,NA,NA,NA,NA
2021-05-06 22:00:00,1.119995,3.01001,3.109985,3.059998,3.480011,3.140015,3.579987,2.859985,3.959991,NA,NA,NA,NA,28.9101242335676,27.4368022782711,27.9288385625964,23.409075458925,23.3279067389377,20.9574907593718,21.3079502207073,19.3291771359952,20.7485260052701,NA,NA,NA,NA
2021-05-06 23:00:00,1.269989,2.980011,3.109985,2.950012,3.480011,3.089996,3.579987,2.859985,3.940002,NA,NA,NA,NA,28.6938000447855,27.431135948581,28.0250873567902,23.5378467097691,23.3533274102786,20.9785813155705,21.3120517450162,19.3291771359952,20.752994115876,NA,NA,NA,NA
2021-05-07 00:00:00,1.470001,2.959991,3.109985,2.980011,3.480011,3.140015,3.579987,2.859985,3.959991,NA,NA,NA,NA,28.9488819475569,27.4878358160435,28.0859992716423,23.6623312517136,23.3889372416971,20.9827999234745,21.3161534239678,19.3291771359952,20.7485260052701,NA,NA,NA,NA
2021-05-07 01:00:00,1.5,2.959991,3.109985,2.980011,3.480011,3.140015,3.579987,2.859985,3.859985,NA,NA,NA,NA,28.9799046004496,27.5275820772792,28.1622853124547,24.1358634298306,23.4347869284205,20.9996841088026,21.3202633801475,19.3341584659362,20.7753293953883,NA,NA,NA,NA
2021-05-07 02:00:00,1.630005,2.959991,3.109985,2.980011,3.480011,3.170013,3.579987,2.859985,3.959991,NA,NA,NA,NA,28.7786452987986,27.5275820772792,28.2132182076513,24.4242700253065,23.501123285446,21.0165871440054,21.3284675117796,19.3341584659362,20.752994115876,NA,NA,NA,NA
2021-05-07 03:00:00,1.679993,2.959991,3.109985,2.899994,3.450012,3.140015,3.579987,2.859985,3.959991,NA,NA,NA,NA,28.524654771124,27.4821673013572,28.2285207328408,24.6113441789379,23.5932020224281,21.0588684983522,21.33667226181,19.3391320704443,20.752994115876,NA,NA,NA,NA
2021-05-07 04:00:00,1.880005,2.959991,3.109985,2.899994,3.480011,3.059998,3.579987,2.859985,3.959991,NA,NA,NA,NA,28.2266121211722,27.4254698616408,28.2183159914525,24.6113441789379,23.6495949603165,21.1181745776033,21.3530998668126,19.3391320704443,20.752994115876,NA,NA,NA,NA
2021-05-07 05:00:00,1.880005,2.959991,3.079987,2.820007,3.450012,3.140015,3.579987,2.859985,3.959991,NA,NA,NA,NA,28.0519078718294,27.3632016418306,28.2132182076513,24.5768040516407,23.7060978670545,21.1478682178815,21.3695380755442,19.3441059194291,20.752994115876,NA,NA,NA,NA
2021-05-07 06:00:00,1.880005,2.959991,3.109985,2.850006,3.480011,3.089996,3.579987,2.859985,3.959991,NA,NA,NA,NA,27.9157315475059,27.3010396230494,28.1826527292911,24.4979911229417,23.7266639139508,21.1903470489275,21.3777540462172,19.3490959558685,20.757454333435,NA,NA,NA,NA
2021-05-07 07:00:00,1.880005,2.959991,3.079987,2.769989,3.369995,3.170013,3.579987,2.829987,3.959991,NA,NA,NA,NA,27.8026167491768,27.2446162000002,28.172468637025,24.4242700253065,23.7781486567784,21.2031012509736,21.3900913547272,19.3590528498725,20.757454333435,NA,NA,NA,NA
2021-05-07 08:00:00,2.079987,2.959991,3.029999,2.769989,3.420013,3.140015,3.579987,2.859985,3.910004,NA,NA,NA,NA,27.787559708337,27.1995375347222,28.1622853124547,24.3850110973008,23.7781486567784,21.2371441442209,21.3983170023364,19.3590528498725,20.7708603491324,NA,NA,NA,NA
2021-05-07 09:00:00,2.079987,2.959991,2.950012,2.769989,3.420013,3.01001,3.579987,2.859985,3.959991,NA,NA,NA,NA,28.1809596244658,27.2277024226086,28.1673811755328,24.3360158647597,23.7884499568154,21.2797554132273,21.40654327006,19.3640356503931,20.7663914900452,NA,NA,NA,NA
2021-05-07 10:00:00,2.690002,2.959991,2.970001,2.73999,3.399994,3.029999,3.579987,2.859985,3.959991,NA,NA,NA,NA,27.9232885117786,27.250257454023,28.1673811755328,24.3262258801033,23.803916042141,21.2925526108317,21.4106566364377,19.3740019868592,20.7663914900452,NA,NA,NA,NA
2021-05-07 11:00:00,3.089996,3.01001,2.970001,2.73999,3.290009,3.01001,3.579987,2.859985,3.880005,NA,NA,NA,NA,27.6373394537179,27.222062135972,28.1673811755328,24.3262258801033,23.8451854262123,21.3096151772748,21.4188919641195,19.383977277989,20.7887457396658,NA,NA,NA,NA
2021-05-07 12:00:00,3.519989,3.170013,3.029999,2.73999,3.26001,3.029999,3.579987,2.859985,3.959991,NA,NA,NA,NA,27.3684037762091,27.1432685102404,28.1419295587253,24.3164366916141,23.8555174774209,21.3181515255663,21.4230057957597,19.3889533297857,20.7753293953883,NA,NA,NA,NA
2021-05-07 13:00:00,4.51001,3.170013,2.970001,2.73999,3.26001,3.01001,3.579987,2.859985,3.959991,NA,NA,NA,NA,26.9538698414678,27.1039277970993,28.1470160613725,24.3066482994109,23.8606838406981,21.3352343549894,21.4271279129254,19.3939455758958,20.7842680493482,NA,NA,NA,NA
2021-05-07 14:00:00,5.040009,3.350006,2.970001,2.73999,3.26001,3.01001,3.579987,2.859985,3.959991,NA,NA,NA,NA,26.6751981899857,27.0141637099001,28.1317485372252,24.2870905762324,23.8658504290666,21.3437808372015,21.4312420547885,19.3989380678057,20.7932155347898,NA,NA,NA,NA
2021-05-07 15:00:00,4.910004,3.5,3.049988,2.73999,3.26001,3.01001,3.579987,2.859985,3.959991,NA,NA,NA,NA,26.5803547007696,26.9358015862264,28.0961768400042,24.2724202039582,23.8710089355537,21.3523361151269,21.4353644827687,19.4089158127268,20.8021637699699,NA,NA,NA,NA
2021-05-07 16:00:00,4.459991,3.579987,3.029999,2.73999,3.290009,3.01001,3.579987,2.859985,3.910004,NA,NA,NA,NA,26.6459885582199,26.8631877056178,28.0859992716423,24.2528763826607,23.8658504290666,21.3608839393277,21.4394789348116,19.4139090415086,20.8200624890809,NA,NA,NA,NA
2021-05-07 17:00:00,4.299988,3.579987,3.029999,2.73999,3.26001,3.029999,3.579987,2.859985,3.959991,NA,NA,NA,NA,26.719059005139,26.8352883983206,28.0707730034003,24.2382268529922,23.8761759736888,21.3608839393277,21.4436098053512,19.4188945390081,20.8245416799393,NA,NA,NA,NA
2021-05-07 18:00:00,3.799988,3.690002,3.109985,2.73999,3.26001,3.01001,3.579987,2.859985,3.910004,NA,NA,NA,NA,27.0496938220219,26.8129919764624,28.0403084592213,24.2187135900761,23.8710089355537,21.3694324340581,21.4436098053512,19.4238962361798,20.8424603199429,NA,NA,NA,NA
2021-05-07 19:00:00,3.700012,3.76001,3.109985,2.73999,3.26001,3.01001,3.579987,2.829987,3.940002,NA,NA,NA,NA,26.9833276551504,26.7962785498818,28.030160866285,24.2040765604354,23.8710089355537,21.3737069328415,21.4477245678368,19.4288902020244,20.8469404490136,NA,NA,NA,NA
2021-05-07 20:00:00,3.320007,3.790009,3.109985,2.73999,3.26001,3.01001,3.559998,2.859985,3.959991,NA,NA,NA,NA,26.9980547962813,26.7739973275846,28.0200140386285,24.1894496465446,23.8710089355537,21.3737069328415,21.4518476176226,19.4288902020244,20.8514207656831,NA,NA,NA,NA
2021-05-07 21:00:00,2.970001,3.76001,3.109985,2.73999,3.26001,3.01001,3.579987,2.829987,3.959991,NA,NA,NA,NA,27.012809155747,26.7684361229087,28.0149494956223,24.1748245176016,23.8710089355537,21.3779897261227,21.4518476176226,19.4388788706197,20.8603819617605,NA,NA,NA,NA
2021-05-07 22:00:00,2.690002,3.73999,3.109985,2.73999,3.26001,3.01001,3.579987,2.829987,3.959991,NA,NA,NA,NA,27.005431767709,26.7573144287508,28.0048123985968,24.1699526472829,23.8710089355537,21.3779897261227,21.4559626902015,19.4388788706197,20.8693519967968,NA,NA,NA,NA
2021-05-07 23:00:00,2.26001,3.660004,3.109985,2.73999,3.26001,3.01001,3.579987,2.859985,3.910004,NA,NA,NA,NA,27.057065186292,26.7517454372114,27.9997398452508,24.1553382253516,23.8710089355537,21.3822645604044,21.4518476176226,19.4388788706197,20.8872943211303,NA,NA,NA,NA
2021-05-08 00:00:00,1.880005,3.630005,3.109985,2.73999,3.26001,3.01001,3.579987,2.859985,3.910004,NA,NA,NA,NA,27.0866059402644,26.7294973649195,27.9895953127677,24.1407339130505,23.8658504290666,21.3822645604044,21.4559626902015,19.4388788706197,20.8962666101946,NA,NA,NA,NA
